filename,x,y,width,height,class
img6001.jpg,253,128,124,123,gap
img6001.jpg,155,165,86,86,gap
img6002.jpg,305,23,117,89,gap
img6002.jpg,150,150,128,117,gap
img6003.jpg,256,139,77,132,gap
img6003.jpg,415,40,125,66,gap
img6004.jpg,297,133,107,106,gap
img6004.jpg,487,108,50,101,gap
img6005.jpg,412,143,97,81,gap
img6005.jpg,160,93,106,81,gap
img6006.jpg,357,14,57,149,gap
img6006.jpg,211,154,126,106,gap
img6007.jpg,198,153,111,112,gap
img6007.jpg,321,103,111,121,gap
img6008.jpg,354,38,113,89,gap
img6008.jpg,265,137,116,115,gap
img6009.jpg,383,151,124,123,gap
img6009.jpg,183,136,113,86,gap
img6010.jpg,370,150,117,89,gap
img6010.jpg,374,17,122,120,gap
img6011.jpg,185,85,125,125,gap
img6011.jpg,408,48,131,89,gap
img6012.jpg,209,64,102,174,gap
img6012.jpg,400,77,122,122,gap
img6013.jpg,443,128,93,93,gap
img6013.jpg,316,121,100,90,gap
img6014.jpg,419,75,106,87,gap
img6014.jpg,312,61,70,110,gap
img6015.jpg,249,158,100,86,gap
img6015.jpg,158,32,125,125,gap
img6016.jpg,342,65,109,109,gap
img6016.jpg,169,109,134,134,gap
img6017.jpg,211,117,108,109,gap
img6017.jpg,355,75,86,104,gap
img6018.jpg,391,145,66,86,gap
img6018.jpg,400,18,92,102,gap
img6019.jpg,258,26,116,93,gap
img6019.jpg,355,148,128,104,gap
img6020.jpg,180,84,113,90,gap
img6020.jpg,432,154,111,91,gap
img6021.jpg,345,75,121,134,gap
img6021.jpg,160,72,102,114,gap
img6022.jpg,239,67,117,117,gap
img6022.jpg,407,94,116,116,gap
img6023.jpg,265,42,76,89,gap
img6023.jpg,373,35,113,90,gap
img6024.jpg,357,52,109,109,gap
img6024.jpg,208,81,92,111,gap
img6025.jpg,382,133,119,132,gap
img6025.jpg,156,93,122,141,gap
img6026.jpg,160,56,112,130,gap
img6026.jpg,299,161,123,100,gap
img6027.jpg,205,126,131,132,gap
img6027.jpg,392,21,88,87,gap
img6028.jpg,175,90,93,67,gap
img6028.jpg,320,117,113,140,gap
img6029.jpg,268,144,99,79,gap
img6029.jpg,396,156,142,83,gap
img6030.jpg,278,150,116,116,gap
img6030.jpg,159,97,101,111,gap
img6031.jpg,264,51,89,88,gap
img6031.jpg,406,25,114,90,gap
img6032.jpg,326,52,116,115,gap
img6032.jpg,225,156,97,98,gap
img6033.jpg,159,118,124,126,gap
img6033.jpg,374,38,76,91,gap
img6034.jpg,369,12,97,106,gap
img6034.jpg,253,164,76,89,gap
img6035.jpg,262,77,111,121,gap
img6035.jpg,422,24,110,108,gap
img6036.jpg,170,145,125,123,gap
img6036.jpg,413,130,76,143,gap
img6037.jpg,376,180,96,76,gap
img6037.jpg,358,23,146,48,gap
img6038.jpg,435,154,100,86,gap
img6038.jpg,324,131,94,94,gap
img6039.jpg,359,108,128,117,gap
img6039.jpg,220,120,127,128,gap
img6040.jpg,171,33,125,123,gap
img6040.jpg,310,90,119,119,gap
img6041.jpg,324,66,95,95,gap
img6041.jpg,167,143,116,120,gap
img6042.jpg,214,168,104,104,gap
img6042.jpg,412,150,102,115,gap
img6043.jpg,258,185,98,78,gap
img6043.jpg,434,130,100,117,gap
img6044.jpg,374,10,127,126,gap
img6044.jpg,220,32,124,123,gap
img6045.jpg,356,114,113,112,gap
img6045.jpg,270,112,79,104,gap
img6046.jpg,190,65,111,112,gap
img6046.jpg,392,111,99,125,gap
img6047.jpg,345,105,99,121,gap
img6047.jpg,164,109,120,86,gap
img6048.jpg,167,101,100,117,gap
img6048.jpg,359,39,55,107,gap
img6049.jpg,211,92,90,90,gap
img6049.jpg,308,165,109,109,gap
img6050.jpg,175,84,107,105,gap
img6050.jpg,431,134,96,107,gap
img6051.jpg,306,156,117,107,gap
img6051.jpg,158,111,115,110,gap
img6052.jpg,153,116,129,124,gap
img6052.jpg,440,74,104,104,gap
img6053.jpg,282,99,116,116,gap
img6053.jpg,182,123,90,93,gap
img6054.jpg,351,58,128,118,gap
img6054.jpg,165,96,106,107,gap
img6055.jpg,251,19,92,113,gap
img6055.jpg,389,11,116,116,gap
img6056.jpg,211,134,112,120,gap
img6056.jpg,457,135,66,96,gap
img6057.jpg,424,105,92,76,gap
img6057.jpg,179,45,129,128,gap
img6058.jpg,281,46,128,104,gap
img6058.jpg,458,159,77,93,gap
img6059.jpg,253,62,107,108,gap
img6059.jpg,416,119,111,86,gap
img6060.jpg,303,131,108,109,gap
img6060.jpg,185,88,108,133,gap
img6061.jpg,159,120,100,88,gap
img6061.jpg,404,56,101,116,gap
img6062.jpg,156,138,143,112,gap
img6062.jpg,396,106,65,123,gap
img6063.jpg,359,149,107,108,gap
img6063.jpg,362,27,97,98,gap
img6064.jpg,431,47,49,100,gap
img6064.jpg,184,11,92,76,gap
img6065.jpg,303,176,98,97,gap
img6065.jpg,251,36,127,127,gap
img6066.jpg,168,82,100,101,gap
img6066.jpg,448,51,99,99,gap
img6067.jpg,204,101,119,121,gap
img6067.jpg,377,113,116,116,gap
img6068.jpg,357,12,88,87,gap
img6068.jpg,172,65,97,81,gap
img6069.jpg,424,149,92,111,gap
img6069.jpg,261,43,125,124,gap
img6070.jpg,231,17,90,114,gap
img6070.jpg,430,112,79,104,gap
img6071.jpg,401,151,91,66,gap
img6071.jpg,155,53,78,91,gap
img6072.jpg,420,68,122,122,gap
img6072.jpg,305,55,111,113,gap
img6073.jpg,390,118,118,59,gap
img6073.jpg,262,102,66,91,gap
img6074.jpg,416,141,115,108,gap
img6074.jpg,285,117,120,86,gap
img6075.jpg,205,102,106,107,gap
img6075.jpg,334,24,116,116,gap
img6076.jpg,352,151,96,88,gap
img6076.jpg,166,142,131,132,gap
img6077.jpg,306,175,90,93,gap
img6077.jpg,405,73,104,104,gap
img6078.jpg,163,152,107,105,gap
img6078.jpg,321,173,99,79,gap
img6079.jpg,203,37,145,127,gap
img6079.jpg,396,90,119,121,gap
img6080.jpg,419,30,89,88,gap
img6080.jpg,222,82,125,125,gap
img6081.jpg,380,83,101,99,gap
img6081.jpg,173,77,102,115,gap
img6082.jpg,398,39,91,101,gap
img6082.jpg,411,159,102,102,gap
img6083.jpg,401,142,119,121,gap
img6083.jpg,224,100,98,98,gap
img6084.jpg,192,15,102,102,gap
img6084.jpg,308,72,106,118,gap
img6085.jpg,392,134,116,116,gap
img6085.jpg,221,79,91,101,gap
img6086.jpg,207,79,114,114,gap
img6086.jpg,330,55,133,75,gap
img6087.jpg,383,155,106,86,gap
img6087.jpg,290,89,86,76,gap
img6088.jpg,329,43,112,111,gap
img6088.jpg,152,109,89,89,gap
img6089.jpg,346,49,114,104,gap
img6089.jpg,236,28,88,87,gap
img6090.jpg,234,157,96,97,gap
img6090.jpg,398,147,106,118,gap
img6091.jpg,450,153,94,96,gap
img6091.jpg,286,118,96,87,gap
img6092.jpg,347,128,95,96,gap
img6092.jpg,282,13,99,98,gap
img6093.jpg,407,115,105,104,gap
img6093.jpg,262,103,134,136,gap
img6094.jpg,222,110,106,114,gap
img6094.jpg,231,11,97,80,gap
img6095.jpg,428,18,93,92,gap
img6095.jpg,331,136,103,98,gap
img6096.jpg,223,144,107,105,gap
img6096.jpg,396,109,124,123,gap
img6097.jpg,367,54,105,100,gap
img6097.jpg,261,80,56,106,gap
img6098.jpg,399,70,144,128,gap
img6098.jpg,288,108,96,76,gap
img6099.jpg,455,30,90,90,gap
img6099.jpg,349,168,91,90,gap
img6100.jpg,264,11,90,76,gap
img6100.jpg,306,138,135,134,gap
