filename,x,y,width,height,class
img6001.jpg,381,157,101,116,gap
img6001.jpg,239,121,116,93,gap
img6002.jpg,260,77,109,109,gap
img6002.jpg,445,187,94,72,gap
img6003.jpg,316,74,102,102,gap
img6003.jpg,406,179,76,89,gap
img6004.jpg,399,108,131,130,gap
img6004.jpg,172,50,93,89,gap
img6005.jpg,307,29,122,120,gap
img6005.jpg,230,20,65,123,gap
img6006.jpg,265,139,79,132,gap
img6006.jpg,410,69,113,113,gap
img6007.jpg,269,182,90,69,gap
img6007.jpg,399,47,109,109,gap
img6008.jpg,192,41,124,123,gap
img6008.jpg,353,60,102,102,gap
img6009.jpg,206,13,118,101,gap
img6009.jpg,301,144,131,129,gap
img6010.jpg,337,171,94,99,gap
img6010.jpg,154,118,109,109,gap
img6011.jpg,165,53,119,118,gap
img6011.jpg,397,150,115,96,gap
img6012.jpg,441,89,94,96,gap
img6012.jpg,234,39,112,96,gap
img6013.jpg,205,50,138,113,gap
img6013.jpg,373,99,116,93,gap
img6014.jpg,235,174,101,96,gap
img6014.jpg,375,63,123,100,gap
img6015.jpg,490,11,54,142,gap
img6015.jpg,283,57,124,119,gap
img6016.jpg,180,123,77,93,gap
img6016.jpg,223,64,133,49,gap
img6017.jpg,364,15,113,114,gap
img6017.jpg,174,28,96,76,gap
img6018.jpg,238,34,114,114,gap
img6018.jpg,413,121,99,100,gap
img6019.jpg,437,169,97,98,gap
img6019.jpg,231,23,114,133,gap
img6020.jpg,388,33,91,101,gap
img6020.jpg,169,83,91,90,gap
img6021.jpg,297,17,95,111,gap
img6021.jpg,204,153,107,65,gap
img6022.jpg,414,26,92,113,gap
img6022.jpg,236,50,99,125,gap
img6023.jpg,337,59,105,100,gap
img6023.jpg,222,172,122,98,gap
img6024.jpg,335,164,98,98,gap
img6024.jpg,333,85,107,65,gap
img6025.jpg,172,105,99,95,gap
img6025.jpg,438,21,100,99,gap
img6026.jpg,425,139,110,103,gap
img6026.jpg,199,85,110,107,gap
img6027.jpg,218,13,56,106,gap
img6027.jpg,395,111,96,76,gap
img6028.jpg,158,24,93,89,gap
img6028.jpg,429,25,79,132,gap
img6029.jpg,458,30,56,106,gap
img6029.jpg,230,97,109,109,gap
img6030.jpg,303,24,99,83,gap
img6030.jpg,271,108,108,110,gap
img6031.jpg,340,88,126,113,gap
img6031.jpg,216,157,100,88,gap
img6032.jpg,195,50,85,109,gap
img6032.jpg,296,153,101,111,gap
img6033.jpg,440,55,96,88,gap
img6033.jpg,286,37,49,100,gap
img6034.jpg,415,50,102,81,gap
img6034.jpg,274,150,115,61,gap
