filename,x,y,width,height,class
img6001.jpg,410,109,114,104,gap
img6001.jpg,291,95,115,108,gap
img6002.jpg,157,98,118,101,gap
img6002.jpg,433,23,100,100,gap
img6003.jpg,179,90,124,126,gap
img6003.jpg,339,33,113,106,gap
img6004.jpg,401,83,117,123,gap
img6004.jpg,153,30,127,128,gap
img6005.jpg,402,18,129,101,gap
img6005.jpg,234,79,117,117,gap
img6006.jpg,152,24,110,107,gap
img6006.jpg,270,110,117,117,gap
img6007.jpg,218,145,76,96,gap
img6007.jpg,363,62,116,117,gap
img6008.jpg,333,93,92,102,gap
img6008.jpg,196,22,125,124,gap
img6009.jpg,308,18,86,86,gap
img6009.jpg,412,105,117,89,gap
img6010.jpg,235,145,102,79,gap
img6010.jpg,416,126,105,90,gap
img6011.jpg,199,22,105,106,gap
img6011.jpg,394,69,114,110,gap
img6012.jpg,231,38,93,93,gap
img6012.jpg,433,125,96,97,gap
img6013.jpg,443,76,76,143,gap
img6013.jpg,309,93,125,128,gap
img6014.jpg,183,138,110,110,gap
img6014.jpg,207,14,112,101,gap
img6015.jpg,343,87,129,107,gap
img6015.jpg,151,132,102,102,gap
img6016.jpg,375,28,114,133,gap
img6016.jpg,237,99,86,86,gap
img6017.jpg,280,32,104,110,gap
img6017.jpg,404,12,95,106,gap
img6018.jpg,385,129,118,120,gap
img6018.jpg,250,96,100,86,gap
img6019.jpg,253,97,85,119,gap
img6019.jpg,283,12,92,76,gap
img6020.jpg,427,61,106,114,gap
img6020.jpg,192,64,113,86,gap
img6021.jpg,259,84,108,109,gap
img6021.jpg,154,97,86,86,gap
img6022.jpg,173,155,111,86,gap
img6022.jpg,380,94,114,110,gap
img6023.jpg,169,117,107,105,gap
img6023.jpg,363,57,102,174,gap
img6024.jpg,455,141,61,96,gap
img6024.jpg,275,93,46,136,gap
img6025.jpg,179,11,99,121,gap
img6025.jpg,413,73,93,92,gap
img6026.jpg,374,100,99,105,gap
img6026.jpg,238,81,113,89,gap
img6027.jpg,402,142,99,99,gap
img6027.jpg,238,35,110,99,gap
img6028.jpg,317,107,103,132,gap
img6028.jpg,153,103,126,80,gap
img6029.jpg,385,68,102,114,gap
img6029.jpg,227,38,104,104,gap
img6030.jpg,153,12,99,100,gap
img6030.jpg,392,98,119,119,gap
img6031.jpg,264,27,116,116,gap
img6031.jpg,405,134,101,115,gap
img6032.jpg,381,115,90,90,gap
img6032.jpg,185,79,120,102,gap
img6033.jpg,420,37,94,94,gap
img6033.jpg,277,11,111,95,gap
img6034.jpg,223,126,86,103,gap
img6034.jpg,312,32,125,128,gap
img6035.jpg,312,128,113,90,gap
img6035.jpg,459,68,66,96,gap
img6036.jpg,306,135,85,85,gap
img6036.jpg,160,44,112,130,gap
img6037.jpg,426,44,98,83,gap
img6037.jpg,175,22,124,123,gap
img6038.jpg,307,75,135,134,gap
img6038.jpg,151,106,102,102,gap
img6039.jpg,160,151,99,83,gap
img6039.jpg,332,52,125,125,gap
img6040.jpg,357,90,109,120,gap
img6040.jpg,188,38,116,117,gap
img6041.jpg,371,33,106,113,gap
img6041.jpg,169,33,124,123,gap
img6042.jpg,189,96,131,129,gap
img6042.jpg,331,114,114,114,gap
img6043.jpg,151,124,125,125,gap
img6043.jpg,377,62,111,111,gap
img6044.jpg,153,84,110,110,gap
img6044.jpg,385,163,86,76,gap
img6045.jpg,343,97,106,114,gap
img6045.jpg,168,21,107,106,gap
img6046.jpg,367,146,133,75,gap
img6046.jpg,287,26,97,80,gap
img6047.jpg,382,149,66,91,gap
img6047.jpg,164,56,99,99,gap
img6048.jpg,200,136,98,98,gap
img6048.jpg,312,59,116,118,gap
img6049.jpg,286,70,101,96,gap
img6049.jpg,185,180,118,40,gap
img6050.jpg,323,126,117,117,gap
img6050.jpg,210,106,108,133,gap
img6051.jpg,283,18,93,67,gap
img6051.jpg,197,115,100,101,gap
img6052.jpg,174,43,102,174,gap
img6052.jpg,277,74,90,114,gap
